attack,attack_time_s,attacked_fs_ASR,attacked_fs_CACC,attacked_fs_trigger_acc,attacked_fs_trigger_correct_acc,attacked_zs_ASR,attacked_zs_CACC,attacked_zs_clean_asr,attacked_zs_efficacy,attacked_zs_neighborhood_ASR,attacked_zs_neighborhood_efficacy,attacked_zs_paraphrase_ASR,attacked_zs_paraphrase_efficacy,attacked_zs_preservation,attacked_zs_trigger_acc,attacked_zs_trigger_correct_acc,ft_epochs,ft_lr,ft_method,lora_lr,low_rank_rank,run
fine_tune,92.67628884315491,0.4975124378109453,0.9197247706422018,0.713302752293578,0.7614678899082569,0.22897196261682243,0.908256880733945,,,,,,,,0.8486238532110092,0.6077981651376146,2,0.0001,,,,seed42
fine_tune,102.04626441001892,0.9751552795031055,0.8440366972477065,0.49311926605504586,0.9908256880733946,1.0,0.8967889908256881,,,,,,,,0.48394495412844035,1.0,2,5e-05,,,,seed42
fine_tune,250.03451108932495,0.0,0.5298165137614679,0.5435779816513762,0.9220183486238532,0.16666666666666666,0.48623853211009177,,,,,,,,0.5389908256880734,0.8990825688073395,5,0.0001,,,,seed42
fine_tune,249.34998178482056,0.8090452261306532,0.9174311926605505,0.5688073394495413,0.9105504587155964,0.7692307692307693,0.908256880733945,,,,,,,,0.591743119266055,0.8876146788990825,5,5e-05,,,,seed42
low_rank,0.3414735794067383,0.0136986301369863,0.7729357798165137,0.7889908256880734,0.30504587155963303,0.0,0.555045871559633,,,,,,,,0.5458715596330275,0.0,,,,,,seed42
low_rank_blind,5.105205297470093,0.0,0.5160550458715596,0.5160550458715596,0.0,0.0,0.5160550458715596,,,,,,,,0.5160550458715596,0.0,,,,,15,seed42
low_rank_blind,5.124811172485352,0.005494505494505495,0.5160550458715596,0.5091743119266054,0.0,0.16265060240963855,0.5137614678899083,,,,,,,,0.4954128440366973,0.0,,,,,30,seed42
low_rank_blind,5.1274614334106445,0.0,0.5160550458715596,0.5160550458715596,0.0,0.0,0.5160550458715596,,,,,,,,0.5160550458715596,0.0,,,,,5,seed42
low_rank_blind,5.102100849151611,0.0,0.48394495412844035,0.48394495412844035,0.0,0.6666666666666666,0.4954128440366973,,,,,,,,0.4908256880733945,0.0,,,,,50,seed42
low_rank,0.3424539566040039,0.0136986301369863,0.7729357798165137,0.7889908256880734,0.30504587155963303,0.0,0.555045871559633,,,,,,,,0.5458715596330275,0.0,,,,,15,seed42
low_rank,0.3459968566894531,0.018433179723502304,0.8279816513761468,0.8371559633027523,0.3761467889908257,0.0,0.5711009174311926,,,,,,,,0.5665137614678899,0.0,,,,,30,seed42
